scope,code,category,message_type,level,spec_page,center_command
COMMON,0F80,訊息回應處理,設定回報,B,4-4,True
COMMON,0F81,訊息回應處理,設定回報/查詢回報,B,4-5,True
COMMON,0F8F,訊息代傳,設定回報/查詢回報,A,4-7,True
COMMON,0F8E,訊息代傳,設定、查詢,A,4-10,True
COMMON,0F10,重新啟動設備,設定,B,4-13,True
COMMON,0F90,重新啟動設備,設定回報,B,4-15,True
COMMON,0F40,設備編號管理,查詢,O,4-16,True
COMMON,0FC0,設備編號管理,查詢回報,O,4-17,False
COMMON,0F00,電源中斷回報,主動回報,A,4-18,False
COMMON,0F11,設備通訊重新啟動與檢測管理,設定,B,4-19,True
COMMON,0F91,設備通訊重新啟動與檢測管理,設定回報,B,4-20,True
COMMON,0F41,設備通訊重新啟動與檢測管理,查詢,B,4-21,True
COMMON,0FC1,設備通訊重新啟動與檢測管理,查詢回報,B,4-22,False
COMMON,0F12,設備日期、時間管理,設定,B,4-23,True
COMMON,0F92,設備日期、時間管理,設定回報,B,4-25,True
COMMON,0F42,設備日期、時間管理,查詢,O,4-26,True
COMMON,0FC2,設備日期、時間管理,查詢回報,O,4-27,False
COMMON,0F02,設備日期、時間管理,主動回報,B,4-28,False
COMMON,0F13,設備韌體燒錄日期及版本管理,設定,B,4-29,True
COMMON,0F43,設備韌體燒錄日期及版本管理,查詢,B,4-30,True
COMMON,0FC3,設備韌體燒錄日期及版本管理,查詢回報,B,4-31,False
COMMON,0F14,設備硬體狀態管理,設定,B,4-33,True
COMMON,0F44,設備硬體狀態管理,查詢,B,4-34,True
COMMON,0FC4,設備硬體狀態管理,查詢回報,B,4-35,False
COMMON,0F04,設備硬體狀態管理,主動回報,B,4-36,False
COMMON,0F15,設備資料庫操作鎖定密碼管理,設定,B,4-39,True
COMMON,0F45,設備資料庫操作鎖定密碼管理,查詢,B,4-40,True
COMMON,0FC5,設備資料庫操作鎖定密碼管理,查詢回報,B,4-41,False
COMMON,0F16,設備資料庫操作保護管理,設定/解除,O,4-42,True
COMMON,0F46,設備資料庫操作保護管理,查詢,O,4-43,True
COMMON,0FC6,設備資料庫操作保護管理,查詢回報,O,4-44,False
COMMON,0F47,通訊協定回測狀態,查詢,O,4-45,True
COMMON,0FC7,通訊協定回測狀態,查詢回報,O,4-46,False
IC,5F10,目前控制策略管理,設定,A,5-6,True
IC,5F40,目前控制策略管理,查詢,A,5-8,True
IC,5FC0,目前控制策略管理,查詢回報,A,5-9,False
IC,5F00,目前控制策略管理,主動回報,A,5-10,False
IC,5F11,車道調撥控制參數管理,設定,A,5-12,True
IC,5F41,車道調撥控制參數管理,查詢,A,5-14,True
IC,5FC1,車道調撥控制參數管理,查詢回報,A,5-15,False
IC,5F01,車道調撥控制參數管理,主動回報,A,5-16,False
IC,5F12,車道調撥控制參數管理,設定,A,5-17,True
IC,5F42,車道調撥控制參數管理,查詢,A,5-19,True
IC,5FC2,車道調撥控制參數管理,查詢回報,A,5-20,False
